period_folder,file_name,file_path,file_size_bytes,sheet_name,max_row,max_column,status,error
2018_01,main_performance_indicators_of_commercial_banks_grouped_in_terms_of_asset_size_the_central_bank_of_the_republic_of_uzbek_71446_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\main_performance_indicators_of_commercial_banks_grouped_in_terms_of_asset_size_the_central_bank_of_the_republic_of_uzbek_71446_html_fallback.xlsx,9362,raw_table_flat,22,11,ok,
2018_01,main_performance_indicators_of_commercial_banks_grouped_in_terms_of_asset_size_the_central_bank_of_the_republic_of_uzbek_71446_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\main_performance_indicators_of_commercial_banks_grouped_in_terms_of_asset_size_the_central_bank_of_the_republic_of_uzbek_71446_html_fallback.xlsx,9362,metadata,8,2,ok,
2018_01,number_of_credit_organizations_and_bank_divisions_the_central_bank_of_the_republic_of_uzbekistan_71444_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\number_of_credit_organizations_and_bank_divisions_the_central_bank_of_the_republic_of_uzbekistan_71444_html_fallback.xlsx,7526,raw_table_preserved,19,3,ok,
2018_01,number_of_credit_organizations_and_bank_divisions_the_central_bank_of_the_republic_of_uzbekistan_71444_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\number_of_credit_organizations_and_bank_divisions_the_central_bank_of_the_republic_of_uzbekistan_71444_html_fallback.xlsx,7526,raw_table_flat,20,3,ok,
2018_01,number_of_credit_organizations_and_bank_divisions_the_central_bank_of_the_republic_of_uzbekistan_71444_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\number_of_credit_organizations_and_bank_divisions_the_central_bank_of_the_republic_of_uzbekistan_71444_html_fallback.xlsx,7526,metadata,8,2,ok,
2018_01,profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71455_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71455_html_fallback.xlsx,7722,raw_table_preserved,21,3,ok,
2018_01,profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71455_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71455_html_fallback.xlsx,7722,raw_table_flat,22,3,ok,
2018_01,profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71455_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71455_html_fallback.xlsx,7722,metadata,8,2,ok,
2018_01,role_of_banking_sector_in_the_economy_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71449_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\role_of_banking_sector_in_the_economy_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71449_html_fallback.xlsx,6970,raw_table_preserved,10,3,ok,
2018_01,role_of_banking_sector_in_the_economy_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71449_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\role_of_banking_sector_in_the_economy_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71449_html_fallback.xlsx,6970,raw_table_flat,11,3,ok,
2018_01,role_of_banking_sector_in_the_economy_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71449_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\role_of_banking_sector_in_the_economy_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71449_html_fallback.xlsx,6970,metadata,8,2,ok,
